"fpr","tpr","fpr2","fpr_ci","tpr2","tpr_ci","u","l"
0.356804506465241,0.699142235309179,0.357529426933443,0.0340930115575717,0.698134087085408,0.0326475840397637,0.764205359145644,0.632631596388487
0.358852899756753,0.702342849827167,0.359567450330014,0.034136009033364,0.701318498642551,0.0325483091577348,0.76516941541411,0.634217309640741
0.361285366790424,0.70413519395724,0.361987603113443,0.0341861953641593,0.70310176911455,0.0324918891078989,0.766723179833704,0.636202453423925
0.362949686339777,0.707079759313788,0.363643497123157,0.0342199891805539,0.706031427747121,0.0323979015086536,0.767885366516283,0.637794539941031
0.365638202534887,0.709000128024581,0.366318402831157,0.0342736489098701,0.707942074681407,0.0323357304586429,0.769906335062457,0.64080344256596
0.368326718729996,0.711432595058251,0.368993308539156,0.0343261641628879,0.710362227464835,0.0322559817776488,0.772572388265881,0.644049488945108
0.371271284086545,0.714505184995519,0.371922967171728,0.0343823739102251,0.713419262559692,0.0321536390809178,0.775895390365271,0.647309055894644
0.372935603635898,0.717449750352068,0.373578861181442,0.0344135426850518,0.716348921192263,0.032053862020925,0.776668433314843,0.648901046880772
0.376264242734605,0.719754192805019,0.37689064920087,0.0344745816247114,0.718641697513406,0.031974605745236,0.779160204095909,0.653502483436202
0.378440660606837,0.722314684419408,0.379056049059727,0.0345135590854023,0.72118922675912,0.0318853283183313,0.781577663795014,0.655588580398094
0.380873127640507,0.725003200614518,0.381476201843155,0.0345562530742102,0.72386413246712,0.0317901992595027,0.784550476214994,0.657154742809803
0.385482012546409,0.727947765971066,0.38606175448544,0.034634642949115,0.726793791099691,0.0316843642146103,0.789148972430443,0.6610868349053
0.387914479580079,0.731148380489054,0.388481907268869,0.0346746999695818,0.729978202656833,0.0315673546081103,0.791623603292071,0.662883912122204
0.390474971194469,0.733324798361285,0.391029436514583,0.0347158879078622,0.73214360251569,0.0314866037025927,0.794467535103272,0.664995076133356
0.394443733196774,0.735245167072078,0.394978106845439,0.0347777563877021,0.734054249449976,0.0314145498360121,0.799455334131901,0.669719434419622
0.398540519779798,0.738189732428626,0.399054153638582,0.0348391169090475,0.736983908082547,0.0313025926338724,0.802659784908837,0.67449440716125
0.400972986813468,0.740110101139419,0.40147430642201,0.0348743517425239,0.738894555016832,0.0312286074223529,0.803782685732422,0.676415001852264
0.403533478427858,0.742798617334528,0.404021835667724,0.0349104803773367,0.741569460724832,0.0311237300503409,0.804902607958955,0.678849423105969
0.406350019203687,0.746127256433235,0.40682411783801,0.0349490874431985,0.74488124874426,0.0309917626600366,0.806480843765965,0.682197183842546
0.409550633721675,0.747663551401869,0.410008529395152,0.034991521352426,0.746409766291689,0.0309300561851671,0.808345665053257,0.685712954465491
0.412879272820382,0.750992190500576,0.41332031741458,0.0350340358246942,0.749721554311117,0.0307946103628778,0.810212269061883,0.68900570472599
0.415311739854052,0.754448854180003,0.415740470198009,0.0350640650011303,0.753160718792831,0.030651394602502,0.811742373173351,0.691745529576048
0.418000256049161,0.757009345794392,0.418415375906008,0.0350962373214326,0.755708248038545,0.0305436056143095,0.813451270222953,0.693624840314268
0.42081679682499,0.76008193573166,0.421217658076294,0.0351287984911664,0.758765283133402,0.0304123213388982,0.815316827187722,0.695808920445217
0.425297657150173,0.764818845218282,0.425675834256293,0.0351781974194436,0.763478212237973,0.0302057228133679,0.819393853601978,0.700596704320218
0.427730124183843,0.768531558059147,0.428095987039722,0.0352037819568631,0.767172129644258,0.030040171219423,0.820532116301326,0.70181910217971
0.43105876328255,0.772244270900013,0.43140777505915,0.0352373917495265,0.770866047050543,0.0298713780321662,0.821379184544946,0.703854102931215
0.434387402381257,0.774548713352964,0.434719563078578,0.0352693872380552,0.773158823371686,0.0297649552275023,0.824810311223887,0.706349188295906
0.43874023812572,0.776469082063756,0.439050362796292,0.0353087989803937,0.775069470305972,0.0296752894973123,0.828642742446776,0.710588828171212
0.442452950966586,0.778645499935988,0.442744280202577,0.035340246270964,0.777234870164829,0.029572580376747,0.83180156155782,0.71436804221079
0.445781590065293,0.7806938932275,0.446056068222006,0.0353667476683516,0.7792728935614,0.0294748466169989,0.83412132719427,0.716564984670847
0.449750352067597,0.782998335680451,0.450004738552862,0.0353962590220728,0.781565669882542,0.0293636470229988,0.837093750263568,0.721339951568114
0.452310843681987,0.784918704391243,0.452552267798576,0.035414096695613,0.783476316816828,0.02926995993471,0.838129336204763,0.724223639843871
0.455639482780694,0.786839073102036,0.455864055818005,0.0354358791136555,0.785386963751113,0.0291753353520201,0.839248287899,0.727810410595286
0.458456023556523,0.789655613877865,0.45866633798829,0.0354530704729263,0.788189245921399,0.0290348376262028,0.840443158245664,0.730884859871449
0.46178466265523,0.792728203815133,0.461978126007718,0.0354719245655869,0.791246281016256,0.0288792099557975,0.842340378661251,0.735046354177224
0.467033670464729,0.794136474203047,0.467200560961432,0.0354984416126175,0.792647422101398,0.0288070479687694,0.845107043535814,0.741393170046508
